JUICE CONCENTRATE,1,OZ,KITCHEN,11/04/2018,03/29/2019,a9796a0d-5d30-477d-a0e8-cc66939a3d3b
BREAKFAST SAUSAGE,5,LBS,KITCHEN,07/14/2016,08/14/2019,c93f9c7b-cfd0-405c-b5dd-43af13f81ec2
MEATBALLS,3,PCS,BASEMENT,03/11/2018,06/29/2019,2cd0fb6b-3d85-474d-9eac-e8ee6b606be5
SWORDFISH,2,LBS,BASEMENT,05/25/2016,07/06/2019,934f9202-65b6-42b3-97c3-a9b53f17b7aa
TOMATO SOUP,1,LB,BASEMENT,08/25/2018,09/04/2021,de55a31b-1d27-415c-8699-24b00def24bc
MIXED VEGETABLES,1,LB,BASEMENT,07/19/2017,12/06/2019,8a0ea8dd-b347-4765-822f-8cd880b51f6f
TOMATO SOUP,29,CUPS,KITCHEN,01/26/2018,12/30/2019,f2881882-22a5-4ca7-8f2f-6ff1d7f22486
COD,14,OZ,KITCHEN,06/13/2017,12/25/2020,6e498fe1-7a1f-42e3-90a7-7c78834d0fa7
ICE CREAM,7,OZ,KITCHEN,03/18/2019,11/02/2021,f1918e5e-6a1d-40ba-b154-68c9e59f408a
GREEN BEANS,4,LBS,KITCHEN,04/14/2016,03/30/2019,3a790eec-79f2-44cf-9a0a-f4f17248087c
DEAD HOOKER,1,X,BASEMENT,06/22/2016,12/28/2021,73506d0d-dc90-41f8-ae42-299fc8542e7c
COOKIE DOUGH,10,LBS,BASEMENT,01/10/2019,01/19/2020,4f68f4f5-9bb5-4fbd-9aff-7f2caa7c54f8
TUNA,2,OZ,BASEMENT,03/16/2018,04/14/2019,4550195c-f859-4dec-ae83-6f42728849b5
TACO MEAT,7,LBS,BASEMENT,04/07/2018,11/27/2020,679c7c3d-749d-45f0-b6cc-affbe5c6e8f3
CHICKEN THIGHS,12,OZ,BASEMENT,03/18/2019,02/21/2021,9d5326b0-538b-47f3-bbc5-2e9a6009956d
GREEN BEANS,4,LBS,BASEMENT,07/16/2017,12/18/2019,0ec18f6a-c556-4382-a08e-21b61401da49
COOKIE DOUGH,10,LBS,BASEMENT,03/18/2019,06/26/2020,c8e3dfc2-8146-4d0b-b1dc-f8aac9a138a3
SWORDFISH,13,OZ,BASEMENT,03/18/2019,06/23/2021,8cedc991-f3b3-4b45-9e4a-adf8e58603f2
RABBIT STEW,21,CUPS,KITCHEN,04/11/2017,08/15/2021,f078e2a6-001b-429a-93d6-faeb065b1ded
CORN,6,CUPS,BASEMENT,03/05/2017,01/18/2019,7809fc42-a9d3-4e35-99f5-acc7daf87a0d
JUMBO SHRIMP,8,LBS,BASEMENT,11/07/2018,10/04/2020,2f7b4bb2-5350-4089-b318-9dd0a69deb87
TIDE POD,15,PCS,KITCHEN,03/27/2019,03/02/2022,9e465239-3bd7-4c75-9b26-fcf411fcf46f
TACO SALAD,7,LBS,BASEMENT,03/24/2019,02/07/2024,155e449f-51e6-42bd-b5a8-6ed6ec8c967a
ASPARAGUS,8,OZ,BASEMENT,03/27/2019,01/01/2021,2ebf24a8-6d50-48b4-a32f-051522e52e62
BANANA BREAD,24,PCS,KITCHEN,03/27/2019,10/31/2019,c363711c-b012-4bad-b64f-450389388aab
MIXED VEGETABLES,12,CUPS,BASEMENT,03/28/2019,12/07/2020,c13fe938-3a23-4bee-a522-cda2e6cc78bb
CATFISH,5,LBS,BASEMENT,03/28/2019,03/10/2021,946c688c-7022-41ab-bac6-caa0e000eec0
CATFISH,1,KG,BASEMENT,03/27/2019,03/30/2019,03360cc1-eccc-4fbf-b791-191ac6b339c9
ASPARAGUS,8,OZ,BASEMENT,03/29/2019,01/01/2022,4fb2c652-c101-4031-869b-53bc2571b884
WHITEFISH,6,OZ,BASEMENT,03/29/2019,02/01/2024,12620735-284b-43df-8c9e-356c9a7c4510
CHEESE CURDS,2,LBS,BASEMENT,04/01/2019,08/07/2027,a56d83df-ebf5-4710-b80f-ff737b600e86
